390.789	362.245
386.032	366.429
386.559	369.289
385.557	370.483
384.841	372.370
385.785	371.975
389.348	371.005
377.266	379.550
376.916	382.096
373.959	384.111
373.109	384.387
370.598	382.973
370.067	383.667
369.099	377.171
366.549	379.162
368.245	383.977
366.427	385.877
364.343	388.575
365.326	389.769
368.751	389.556
369.598	386.514
389.381	384.817
387.311	381.979
388.205	382.978
386.632	387.414
385.150	388.393
384.099	390.620
382.926	394.712
385.771	396.611
375.693	393.622
376.697	392.655
394.063	397.035
391.727	401.327
379.119	400.460
381.912	407.491
384.119	407.505
383.090	406.474
384.888	408.943
386.664	409.806
386.207	409.759
388.031	411.599
387.911	411.545
384.119	412.443
